-,-,-,-,-,-
0.52,-0.07,0.85,58.23,-15.20,-12.82
0.50,-0.10,0.84,58.29,-14.77,-14.65
0.50,-0.06,0.85,36.44,-14.95,0.18
0.60,-0.12,0.82,67.57,-15.75,8.36
0.50,-0.15,0.85,57.92,-15.69,-4.09
0.50,-0.11,0.86,33.08,-16.11,13.49
0.49,-0.08,0.87,33.63,-16.72,16.78
0.49,-0.07,0.86,34.18,-16.24,15.93
0.49,-0.08,0.86,33.26,-16.54,12.45
0.49,-0.10,0.87,27.28,-16.72,10.31
0.49,-0.11,0.87,22.77,-16.66,10.01
0.49,-0.12,0.87,19.53,-15.69,9.64
0.49,-0.13,0.86,13.00,-16.30,8.91
0.49,-0.15,0.86,4.94,-15.87,9.40
0.49,-0.16,0.87,-3.60,-15.32,9.95
0.48,-0.15,0.87,-11.72,-14.59,12.63
0.49,-0.11,0.86,-19.29,-14.16,15.87
0.48,-0.08,0.87,-25.15,-15.56,18.49
0.49,-0.06,0.87,-28.08,-16.42,19.47
0.49,-0.04,0.88,-28.02,-15.01,18.74
0.48,-0.02,0.85,-24.23,-15.63,18.07
0.49,-0.02,0.85,-21.12,-14.89,18.25
0.50,-0.02,0.87,-17.52,-14.40,18.68
0.51,-0.02,0.88,-11.78,-15.14,16.60
0.50,-0.02,0.85,-6.23,-16.24,15.50
0.50,-0.02,0.85,-2.20,-14.83,15.87
0.52,-0.03,0.86,1.95,-14.77,15.75
0.51,-0.03,0.86,6.35,-15.56,16.78
0.51,-0.03,0.85,10.50,-15.32,15.81
0.52,-0.03,0.84,12.76,-15.56,15.26
0.52,-0.04,0.86,15.08,-15.81,14.65
0.52,-0.04,0.85,15.50,-15.44,14.77
0.52,-0.04,0.85,16.24,-15.93,14.65
0.52,-0.04,0.84,17.15,-15.44,13.92
0.52,-0.04,0.85,15.81,-15.69,13.31
0.53,-0.05,0.85,15.01,-15.56,12.76
0.53,-0.05,0.84,12.70,-15.87,13.43
0.52,-0.04,0.85,11.84,-15.26,13.31
0.53,-0.04,0.85,11.11,-15.75,13.98
0.52,-0.04,0.85,9.70,-16.36,13.61
0.52,-0.04,0.84,8.85,-15.69,13.24
0.53,-0.04,0.85,8.54,-15.50,13.79
0.53,-0.04,0.85,7.75,-16.05,14.59
0.53,-0.04,0.85,6.84,-15.99,15.44
0.53,-0.04,0.85,5.98,-15.50,15.87
0.53,-0.04,0.84,5.07,-15.14,16.17
0.52,-0.04,0.85,5.19,-15.81,16.54
0.53,-0.04,0.84,3.97,-15.50,17.52
0.53,-0.04,0.85,3.42,-15.87,18.37
0.53,-0.04,0.85,1.28,-15.69,19.35
0.53,-0.04,0.85,-0.49,-15.56,20.02
0.53,-0.05,0.85,-2.01,-15.56,20.87
0.53,-0.04,0.85,-3.78,-15.81,21.67
0.52,-0.04,0.85,-6.10,-15.38,23.62
0.52,-0.04,0.85,-8.00,-15.50,25.09
0.52,-0.04,0.85,-10.74,-15.44,26.31
0.52,-0.04,0.85,-13.98,-15.56,27.47
0.52,-0.05,0.84,-16.54,-15.44,29.54
0.52,-0.04,0.85,-19.04,-15.75,30.88
0.52,-0.04,0.85,-23.32,-14.71,32.90
0.52,-0.05,0.85,-27.53,-14.83,35.28
0.52,-0.05,0.84,-31.01,-15.14,37.35
0.52,-0.05,0.85,-35.83,-15.63,40.04
0.52,-0.05,0.85,-39.55,-15.56,42.42
0.52,-0.05,0.84,-44.37,-15.56,45.10
